id,item
100,a
100,c
100,e
100,i
101,a
101,b
101,e
101,g
102,d
102,e
102,h
102,i
103,d
103,e
103,g
104,a
104,c
104,e
104,f
104,h
105,c
105,d
105,e
105,g
105,i
106,c
106,g
106,i
107,a
107,b
107,e
107,g
107,h
108,a
108,c
108,h
108,i
109,b
109,d
109,g
109,h
110,b
110,i
111,c
111,d
111,f
111,g
111,h
112,a
112,b
112,e
112,g
112,i
113,d
113,e
113,g
113,i
114,a
114,c
114,i
115,c
115,e
115,i
116,a
116,b
116,g
117,a
117,h
117,i
118,e
118,f
118,g
119,b
119,h
119,i
120,a
120,h
120,i
121,a
121,c
121,h
121,i
122,a
122,d
122,g
123,b
123,d
123,f
123,i
124,a
124,g
124,i
125,c
125,e
125,i
126,c
126,d
126,e
126,g
127,b
127,d
127,i
128,a
128,b
128,d
128,f
128,i
129,d
129,h
130,b
130,h
130,i
131,d
131,h
131,i
132,b
132,c
132,e
132,f
132,i
133,a
133,b
133,h
133,i
134,a
134,e
134,i
135,a
135,b
135,c
135,e
135,f
136,c
136,e
136,f
136,h
137,d
137,f
138,b
138,c
138,e
138,h
138,i
139,e
139,h
139,i
140,b
140,c
140,h
140,i
141,a
141,d
141,e
141,f
141,h
142,a
142,c
142,e
142,f
143,c
143,g
143,i
144,d
144,e
144,f
144,g
144,i
145,c
145,d
145,e
145,f
145,h
146,a
146,b
146,d
146,e
146,i
147,c
147,d
147,e
147,g
148,c
148,d
148,e
148,f
148,i
149,a
149,e
149,f
149,h
150,a
150,c
150,i
151,b
151,d
151,h
151,i
152,b
152,d
152,h
152,i
153,a
153,b
153,c
153,h
153,i
154,a
154,b
154,h
154,i
155,a
155,b
155,i
156,b
156,e
156,f
157,e
157,f
157,g
157,h
157,i
158,a
158,c
158,h
158,i
159,c
159,d
159,e
159,f
159,h
160,a
160,b
160,g
160,i
161,c
161,d
161,g
161,i
162,d
162,f
162,i
163,e
163,f
163,i
164,b
164,e
164,f
164,i
165,a
165,c
165,g
165,i
166,b
166,d
166,g
166,i
167,c
167,e
167,f
167,g
167,i
168,a
168,d
168,e
168,i
169,a
169,g
169,i
217,a
217,c
217,e
217,i
218,b
218,e
218,g
218,h
219,f
219,g
219,i
220,b
220,d
220,e
220,g
220,i
221,a
221,b
221,g
221,h
221,i
222,a
222,b
222,i
223,a
223,c
223,g
223,h
223,i
224,g
224,i
225,a
225,c
225,d
225,e
225,i
226,a
226,b
226,g
226,i
227,d
227,e
227,g
228,b
228,e
228,g
228,h
228,i
229,b
229,d
229,f
229,i
230,f
230,g
230,h
230,i
231,c
231,h
231,i
232,a
232,c
232,g
232,i
233,a
233,b
233,e
233,f
233,h
234,b
234,c
234,d
234,g
235,b
235,c
235,e
235,i
236,b
236,d
236,e
236,i
237,d
237,f
237,g
237,h
237,i
238,a
238,b
238,c
238,e
238,f
239,c
239,d
239,g
239,h
240,a
240,d
240,e
240,i
241,a
241,c
241,h
241,i
242,a
242,f
242,g
242,i
243,b
243,d
243,i
244,d
244,e
244,f
244,g
244,h
245,a
245,b
245,c
245,e
245,f
246,c
246,h
246,i
247,a
247,c
247,d
247,f
247,i
248,b
248,d
248,h
249,a
249,b
249,d
249,g
249,h
250,a
250,e
250,f
250,g
250,i
251,a
251,e
251,f
251,i
252,b
252,e
252,h
252,i
253,a
253,b
253,f
253,i
254,b
254,d
254,f
254,i
255,a
255,c
255,e
255,g
255,h
256,a
256,b
256,c
256,f
257,a
257,d
257,e
257,g
258,b
258,c
258,e
258,f
259,b
259,d
259,g
260,e
260,f
260,h
260,i
261,b
261,c
261,d
261,i
262,b
262,f
262,g
263,b
263,e
263,h
263,i
264,c
264,d
264,f
264,g
264,i
265,a
265,d
265,f
265,h
265,i
266,c
266,f
266,g
266,i
267,a
267,b
267,d
267,f
267,h
268,b
268,c
268,e
269,d
269,e
269,f
269,g
269,h
270,a
270,c
270,f
270,h
270,i
271,d
271,h
271,i
272,e
272,f
272,i
273,a
273,c
273,d
273,h
273,i
274,c
274,f
274,i
275,a
275,b
275,d
275,e
276,b
276,e
276,i
277,b
277,e
277,h
277,i
278,c
278,d
278,g
278,h
279,b
279,e
279,f
279,i
280,d
280,e
280,i
281,a
281,b
281,e
281,i
282,c
282,f
282,g
282,i
283,e
283,g
283,i
284,a
284,d
284,f
284,g
284,i
285,b
285,c
285,g
285,i
286,d
286,g
286,h
286,i
287,a
287,c
287,g
287,h
287,i
288,a
288,h
288,i
289,a
289,b
289,c
289,d
289,i
290,a
290,c
290,g
290,i
291,e
291,f
291,i
292,a
292,g
292,h
292,i
293,b
293,d
293,g
293,i
294,c
294,f
294,h
294,i
295,a
295,e
295,g
295,i
296,a
296,b
296,c
296,d
296,i
297,a
297,d
297,f
297,g
297,h
298,b
298,g
298,h
298,i
299,c
299,d
299,f
299,i
300,a
300,e
300,i
301,a
301,e
301,f
301,h
301,i
302,b
302,c
302,d
302,h
303,a
303,e
303,g
304,a
304,b
304,c
304,i
305,d
305,f
305,h
306,b
306,d
306,e
306,i
307,a
307,b
307,e
307,h
308,b
308,c
308,d
308,e
308,g
309,b
309,c
309,e
309,h
309,i
310,b
310,c
310,f
310,g
310,i
311,c
311,d
311,e
311,i
312,b
312,e
312,g
312,h
312,i
313,b
313,c
313,e
313,i
314,c
314,e
314,f
314,g
314,i
315,e
315,f
315,g
316,c
316,d
316,e
316,f
316,h
317,a
317,b
317,c
317,g
318,a
318,b
318,e
318,f
318,i
319,a
319,b
319,d
319,e
320,a
320,d
320,e
320,h
320,i
321,c
321,d
321,e
321,f
321,i
322,c
322,d
322,f
322,g
323,a
323,d
323,f
323,i
324,f
324,g
324,h
324,i
325,c
325,f
325,g
325,i
326,a
326,c
326,e
326,h
327,c
327,g
327,i
328,a
328,g
328,h
328,i
329,b
329,c
329,g
329,h
330,d
330,e
330,f
330,g
330,h
331,c
331,d
331,e
331,f
332,b
332,c
332,e
332,g
333,f
333,g
333,h
333,i
334,c
334,f
334,g
334,i
335,a
335,b
335,d
335,g
335,i
336,b
336,d
336,e
336,h
337,a
337,d
337,f
337,h
337,i
338,a
338,b
338,d
338,f
338,i
339,f
339,g
339,h
339,i
340,b
340,c
340,d
340,h
340,i
341,d
341,f
341,g
341,i
342,d
342,f
342,h
342,i
343,d
343,e
343,f
343,i
344,e
344,f
344,g
344,i
345,c
345,g
345,h
345,i
346,f
346,g
346,h
346,i
347,c
347,d
347,i
348,b
348,d
348,h
348,i
349,d
349,e
349,g
349,i
350,b
350,c
350,e
350,f
350,i
351,b
351,d
351,e
351,i
352,a
352,b
352,c
352,i
353,a
353,c
353,f
353,g
353,i
368,c
368,d
368,e
368,i
369,e
369,f
369,g
369,h
370,a
370,d
370,g
370,i
417,a
417,e
417,f
417,i
418,a
418,b
418,d
418,e
419,d
419,e
419,g
420,b
420,c
420,e
420,h
421,a
421,g
421,h
421,i
422,c
422,d
422,f
422,g
422,i
423,a
423,c
423,f
423,i
590,a
590,c
590,f
590,i
591,a
591,b
591,e
591,g
591,h
592,c
592,d
592,i
593,c
593,d
593,e
593,i
594,b
594,d
594,f
594,h
594,i
595,b
595,c
595,i
596,a
596,e
596,f
596,g
596,i
597,d
597,e
597,f
597,i
598,a
598,f
598,i
599,b
599,e
599,f
599,i
600,a
600,f
600,i
601,g
601,i
602,c
602,e
603,a
603,b
603,d
603,i
604,a
604,b
604,c
604,f
605,d
605,e
605,g
605,i
606,g
606,h
606,i
607,a
607,c
607,e
607,h
608,b
608,c
608,g
608,h
608,i
609,d
609,f
609,g
609,h
609,i
610,c
610,g
610,i
611,c
611,d
611,f
611,i
612,a
612,d
612,i
613,a
613,f
613,h
613,i
614,a
614,f
614,h
614,i
615,c
615,d
615,i
616,c
616,d
616,e
616,f
616,i
617,a
617,d
617,g
617,i
618,b
618,c
618,f
618,h
618,i
619,d
619,f
619,g
619,i
620,a
620,b
620,g
620,h
621,a
621,d
621,f
621,g
621,h
622,b
622,d
622,g
622,i
647,b
647,e
647,h
647,i
648,b
648,d
648,e
648,i
649,b
649,f
649,h
649,i
650,c
650,e
650,f
650,g
650,i
651,a
651,b
651,e
651,i
652,b
652,d
652,e
652,g
652,h
653,a
653,b
653,c
653,h
654,a
654,b
654,e
654,g
654,i
655,b
655,e
655,g
656,e
656,g
656,i
657,a
657,c
657,e
657,f
657,h
658,a
658,b
658,c
658,h
658,i
659,b
659,c
659,g
659,i
660,c
660,e
660,g
660,i
661,a
661,b
661,c
661,f
661,h
662,c
662,e
662,g
662,i
663,a
663,b
663,g
663,h
663,i
664,a
664,b
664,g
664,i
665,a
665,b
665,c
665,f
666,b
666,d
666,e
666,h
667,b
667,c
667,h
667,i
668,a
668,c
668,e
668,i
669,c
669,e
669,g
669,i
670,c
670,d
670,e
670,g
670,i
671,c
671,d
671,f
671,h
671,i
672,e
672,g
672,i
673,c
673,d
673,f
673,g
674,b
674,f
674,g
674,i
675,a
675,b
675,c
675,e
675,i
676,a
676,c
676,g
677,b
677,e
677,i
678,c
678,d
678,f
678,g
678,h
679,a
679,c
679,e
679,h
680,c
680,e
680,g
680,h
681,a
681,e
681,g
681,h
682,a
682,c
682,d
682,e
682,h
683,a
683,c
683,f
683,h
683,i
684,a
684,d
684,i
685,d
685,e
685,h
685,i
686,a
686,b
686,h
687,b
687,d
687,f
687,h
687,i
688,b
688,c
688,e
688,f
689,a
689,b
689,h
690,d
690,f
690,g
690,i
691,a
691,d
691,i
692,a
692,b
692,f
692,i
693,a
693,b
693,c
693,i
694,e
694,f
694,g
694,h
695,a
695,b
695,e
695,h
695,i
696,b
696,e
696,f
696,i
697,f
697,h
697,i
698,b
698,c
698,i
699,c
699,f
700,b
700,d
700,g
700,h
700,i
706,d
706,i
721,b
721,d
721,f
721,g
722,a
722,b
722,f
722,i
